Extended VLAN table 1
------------------------
Filter Outer		Filter Inner		Filter Other	Treatment Outer			Treatment Inner
Prio	VID	TPIDDEI	Prio	VID	TPIDDEI	EthTyp	ExtCrit	TagRem	Prio	VID	TPIDDEI	Prio	VID	TPIDDEI
15	4096	0	15	4096	0	0	0	0	15	4096	0	1	1	4
15	4096	0	6	851	0	0	0	1	15	0	0	5	852	0
15	4096	0	5	840	0	0	0	1	15	0	0	4	840	0
15	4096	0	8	838	0	0	0	1	15	0	0	8	838	0
15	4096	0	8	835	0	0	0	1	15	0	0	8	835	0
15	4096	0	8	832	0	0	0	1	15	0	0	8	2800	0
14	4096	0	14	4096	0	0	0	3	15	0	0	15	0	0
15	4096	0	14	4096	0	0	0	3	15	0	0	15	0	0
