Extended VLAN table 3585
------------------------
Filter Outer		Filter Inner		Filter Other	Treatment Outer			Treatment Inner
Prio	VID	TPIDDEI	Prio	VID	TPIDDEI	EthTyp	ExtCrit	TagRem	Prio	VID	TPIDDEI	Prio	VID	TPIDDEI
8	34	5	8	4096	0	0	0	1	15	0	0	9	2871	3
8	35	5	8	4096	0	0	0	1	15	0	0	0	2871	3
14	4096	5	14	4096	0	0	0	3	15	0	0	15	4096	3
15	4096	0	8	34	5	0	0	1	15	0	0	8	2871	2
15	4096	0	8	35	5	0	0	1	15	0	0	0	2871	2
15	4096	0	14	4096	5	0	0	3	15	0	0	15	4096	2
15	4096	0	15	0	5	0	0	3	15	0	0	15	0	2
15	4096	0	14	4096	0	0	0	0	15	0	0	15	0	0
14	4096	0	14	4096	0	0	0	0	15	0	0	15	0	0
